sa2_name_2016, hl_p_homeless_tot, sa2_main16
"Mooroopna",35,"216031415"
"Shepparton - North",85,"216031416"
"Somerville",22,"214021385"
"Shepparton - South",220,"216031417"
"Shepparton Region - East",3,"216031418"
"Shepparton Region - West",12,"216031419"
"Glenelg (Vic.)",10,"217011420"
"Hamilton (Vic.)",10,"217011421"
"Portland",28,"217011422"
"Southern Grampians",3,"217011423"
"Ararat",45,"215011386"
"Ararat Region",7,"215011387"
"Rochester",3,"216011409"
"Rushworth",10,"216011410"
"Horsham",38,"215011388"
"Horsham Region",3,"215011389"
"Nhill Region",14,"215011390"
"St Arnaud",0,"215011391"
"Stawell",19,"215011392"
"West Wimmera",13,"215011393"
"Yarriambiack",3,"215011394"
"Irymple",3,"215021395"
"Merbein",8,"215021396"
"Mildura - South",37,"215021470"
"Buloke",7,"215031400"
"Gannawarra",4,"215031401"
"Kerang",11,"215031402"
"Robinvale",60,"215031403"
"Swan Hill",26,"215031404"
"Swan Hill Region",13,"215031405"
"Echuca",69,"216011406"
"Kyabram",32,"216011407"
"Lockington - Gunbower",4,"216011408"
"Cobram",17,"216021411"
"Moira",0,"216021412"
"Numurkah",25,"216021413"
"Yarrawonga",22,"216021414"
"Camperdown",13,"217031471"
"Colac",53,"217031472"
"Colac Region",0,"217031473"
"Corangamite - North",11,"217031474"
"Corangamite - South",21,"217031475"
"Otway",3,"217031476"
"Moyne - East",6,"217041477"
"Moyne - West",16,"217041478"
"Warrnambool - North",87,"217041479"
"Warrnambool - South",61,"217041480"
