,Region,Census year,Mean rent per person,Cost of living proportion
91,Box Hill North,2011,121.44322344322345,0.8899777817810606
92,Box Hill North,2016,145.32240762812873,0.9682701889446844
93,Braeside,2006,0.0,0.4918032786885246
94,Braeside,2011,0.0,0.4918032786885246
95,Braeside,2016,0.0,0.4918032786885246
96,Braybrook,2006,59.84788895315212,0.6880258654201709
97,Braybrook,2011,95.15124045801528,0.8037745588787386
98,Braybrook,2016,118.37269372693729,0.8799104712358601
99,Brighton (Vic.),2006,134.93096896770106,0.9341998982547576
100,Brighton (Vic.),2011,187.59071729957805,1.1068548108182887
101,Brighton (Vic.),2016,223.82501313715187,1.2256557807775472
102,Brighton East,2006,123.88449197860965,0.8979819409134742
103,Brighton East,2011,164.67995802728228,1.0317375673025648
104,Brighton East,2016,186.4422535211268,1.103089355806973
105,Broadmeadows,2006,54.312271062271066,0.6698762985648231
106,Broadmeadows,2011,81.85194174757281,0.7601703008117142
107,Broadmeadows,2016,101.01785714285715,0.8230093676814989
108,Brunswick,2006,106.30475678581028,0.8403434648715091
109,Brunswick,2011,162.42312220390863,1.0243381055865857
110,Brunswick,2016,199.5192607003891,1.1459647891816036
111,Brunswick East,2006,112.97957516339868,0.8622281152898318
112,Brunswick East,2011,165.98879367172052,1.036028831710559
113,Brunswick East,2016,215.0216,1.1967921311475411
114,Brunswick West,2006,98.24706943192064,0.8139248178095758
115,Brunswick West,2011,150.13502285002076,0.9840492552459696
116,Brunswick West,2016,171.39388145315488,1.0537504309939505
117,Bulleen,2006,82.30909090909091,0.7616691505216096
118,Bulleen,2011,116.06666666666668,0.8723497267759562
119,Bulleen,2016,131.43208092485548,0.922728134179854
120,Bundoora - East,2006,67.02093023255813,0.7115440335493709
121,Bundoora - East,2011,93.66731898238748,0.7989092425652049
122,Bundoora - East,2016,113.07890743550834,0.8625537948705191
123,Bundoora - North,2006,75.25190839694656,0.7385308472031035
124,Bundoora - North,2011,140.6625386996904,0.9529919301629194
125,Bundoora - North,2016,156.53836477987423,1.0050438189504072
126,Bundoora - West,2006,70.8215859030837,0.7240051996822416
127,Bundoora - West,2011,102.44519015659957,0.8276891480544247
128,Bundoora - West,2016,114.2941176470588,0.8665380906460943
129,Bunyip - Garfield,2006,50.08968609865471,0.6560317577005073
130,Bunyip - Garfield,2011,73.0,0.7311475409836066
131,Bunyip - Garfield,2016,88.85616438356163,0.7831349651920053
132,Burnside,2006,70.12162162162161,0.7217102348249889
133,Burnside,2011,86.39449541284404,0.7750639193863739
134,Burnside,2016,100.32758620689656,0.8207461842849068
135,Burnside Heights,2006,69.0,0.7180327868852459
136,Burnside Heights,2011,96.7846153846154,0.8091298865069357
137,Burnside Heights,2016,105.07817589576548,0.8363218881828376
138,Burwood,2006,84.27598152424943,0.7681179722106539
139,Burwood,2011,118.1511423550088,0.8791840732951108
140,Burwood,2016,149.76630083925113,0.9828403306204955
141,Burwood East,2006,79.7594501718213,0.7533096726944961
142,Burwood East,2011,108.73383458646616,0.8483076543818563
