,Region,Census year,Mean rent per person,Cost of living proportion (Youth Allowance),Cost of living proportion (Newstart)
316,Epping - South,2011,95.3637532133676,0.8770606586093,0.7254106436360565
317,Epping - South,2016,100.95947556615018,0.8878446789788002,0.7501363329960381
319,Epping - West,2011,99.468438538206,0.8945908116088234,0.7399097087184952
320,Epping - West,2016,114.03030303030305,0.9380910028650626,0.7925892462577644
322,Essendon - Aberfeldie,2011,139.42432915921287,1.0652330948503645,0.8810467296333905
323,Essendon - Aberfeldie,2016,166.5964961853631,1.1401637464599654,0.9633196797082175
325,Essendon Airport,2011,0.0,0.4697843262865684,0.38855528081949836
326,Essendon Airport,2016,0.0,0.49974051934572433,0.42222871804865375
328,Fawkner,2011,100.8198689956332,0.9003624556721469,0.7446833945448011
329,Fawkner,2016,116.39685314685316,0.9471883950520045,0.8002755956570632
331,Ferntree Gully (North),2011,95.04902962206332,0.8757165476065056,0.7242989389687858
332,Ferntree Gully (North),2016,109.66822429906544,0.9213224837067886,0.7784215930983971
334,Ferntree Gully (South) - Upper Ferntree Gully,2011,90.13434903047091,0.854727093873461,0.7069387108105648
335,Ferntree Gully (South) - Upper Ferntree Gully,2016,104.00125628140704,0.8995377641663254,0.7600157727805614
337,Fitzroy,2011,161.62341772151896,1.1600402208905358,0.9594610304539702
338,Fitzroy,2016,198.6776755852843,1.2634888638025807,1.067516566258353
340,Fitzroy North,2011,162.11483693155716,1.1621389576406458,0.9611968807190292
341,Fitzroy North,2016,199.1893142616744,1.2654556836322466,1.069178324277094
343,Flemington,2011,129.06451612903226,1.0209887513518354,0.844452547259033
344,Flemington,2016,153.2154488517745,1.0887248884301401,0.9198591992327602
346,Flemington Racecourse,2011,165.0,1.1744608157164211,0.971388202048746
347,Flemington Racecourse,2016,72.0,0.7765198839064332,0.6560784695832927
349,Flinders,2011,90.0,0.8541533205210335,0.7064641469445425
350,Flinders,2016,115.0,0.9418186710746344,0.7957387378609244
352,Footscray,2011,128.49803304484658,1.0185694343149545,0.8424515473148942
353,Footscray,2016,157.27321960465747,1.1043235996873064,0.9330384864875686
355,Forest Hill,2011,101.98901098901098,0.9053555882511679,0.7488131790498445
356,Forest Hill,2016,119.75025906735752,0.9600794167157727,0.8111671670640733
358,Frankston,2011,100.11898734177214,0.8973691537124584,0.7422076557462809
359,Frankston,2016,115.13090241343129,0.9423218806136479,0.7961638975394826
361,Frankston North,2011,81.0585657370518,0.8159665416914448,0.6748801332993705
362,Frankston North,2016,95.07454401268834,0.8652220732030997,0.731022586029713
364,Frankston South,2011,97.22947368421052,0.8850287152859727,0.7320009667404115
365,Frankston South,2016,116.9509394572025,0.9493183902865915,0.8020752199071177
367,Gisborne,2011,90.0884086444008,0.854530893206922,0.7067764346322882
368,Gisborne,2016,111.00171821305842,0.9264486447923519,0.7827526656047888
370,Gladstone Park - Westmeadows,2011,88.66777041942603,0.8484636789213155,0.7017582847736702
371,Gladstone Park - Westmeadows,2016,103.04191033138402,0.8958498869101967,0.756899900390997
373,Glen Iris - East,2011,165.79417879417878,1.177852567987097,0.9741934962705007
374,Glen Iris - East,2016,192.1194731890875,1.2382780986375825,1.0462160940241239
376,Glen Waverley - East,2011,120.62057335581788,0.9849266425616822,0.8146258331183959
377,Glen Waverley - East,2016,131.10586552217455,1.0037321603097413,0.8480491913416304
379,Glen Waverley - West,2011,120.12517882689556,0.9828109281524474,0.8128759407520153
380,Glen Waverley - West,2016,140.7826086956522,1.040931088456579,0.8794784133802728
382,Glenroy,2011,105.15202876219826,0.9188640989203427,0.7599859723143704
383,Glenroy,2016,126.57026713124276,0.9862966041910652,0.8333179613863483
385,Gowanbrae,2011,106.8074074074074,0.9259338347529678,0.7658333006266598
386,Gowanbrae,2016,129.35714285714286,0.9970097943650139,0.8423694918871769
388,Greensborough,2011,102.38729874776384,0.9070565823094762,0.7502200591584735
389,Greensborough,2016,121.23464163822526,0.9657856176147971,0.8159883128332367
391,Greenvale - Bulla,2011,100.91954022988506,0.9007881282506301,0.7450354653122043
392,Greenvale - Bulla,2016,108.050139275766,0.9151023094768717,0.7731661933670013
394,Hadfield,2011,99.95767195767196,0.8966802133575569,0.741637838070194
395,Hadfield,2016,111.98419864559818,0.9302254546508474,0.7859436767858592
397,Hallam,2011,91.59476117103236,0.86096417326941,0.7120973548959108
398,Hallam,2016,100.24338624338624,0.8850919185937541,0.7478105370209693
400,Hampton,2011,135.55172413793105,1.048694102660393,0.8673674466193254
401,Hampton,2016,164.84461152882204,1.1334292253207836,0.9576297103797526
403,Hampton Park - Lynbrook,2011,86.76543209876543,0.8403392359545822,0.695038615679143
404,Hampton Park - Lynbrook,2016,99.71304347826089,0.8830531972947158,0.7460880297452366
406,Hastings - Somers,2011,82.78904109589041,0.8233569980606039,0.6809927272903228
407,Hastings - Somers,2016,96.8985650667986,0.8722338980406273,0.7369468481171801
409,Hawthorn,2011,183.0410465674508,1.2515099148727344,1.0351149649150504
410,Hawthorn,2016,212.9688964635705,1.318426572601036,1.1139332114182678
412,Hawthorn East,2011,180.50074147305983,1.240660864715182,1.0261417925576115
413,Hawthorn East,2016,208.78648540583765,1.3023487243386613,1.1003491032701214
415,Healesville - Yarra Glen,2011,83.55569155446756,0.8266311832349671,0.6837007826014395
416,Healesville - Yarra Glen,2016,97.05670103092784,0.8728417976470981,0.7374604600049623
418,Heidelberg - Rosanna,2011,131.44688922610015,1.031163310809738,0.8528678531476515
419,Heidelberg - Rosanna,2016,152.1583769633508,1.0846613372416276,0.9164259214763416
421,Heidelberg West,2011,92.33794025858224,0.8641381176962727,0.7147225017964756
422,Heidelberg West,2016,109.7722816399287,0.9217224965495943,0.7787595623109835
424,Hillside,2011,91.8110918544194,0.8618880711271382,0.7128615042543955
425,Hillside,2016,104.20815752461324,0.9003331252027341,0.7606877700627277
427,Hoppers Crossing - North,2011,82.91858237547893,0.8239102386311293,0.6814503086382159
428,Hoppers Crossing - North,2016,93.1125718981101,0.8576799427147831,0.724650270869824
430,Hoppers Crossing - South,2011,82.16869300911854,0.8207076361696286,0.678801458880673
431,Hoppers Crossing - South,2016,95.42305334150828,0.8665617980721867,0.7321545140846026
433,Hughesdale,2011,130.90941176470585,1.028867870017962,0.8509693103663223
434,Hughesdale,2016,163.7433439829606,1.1291957790491882,0.954052888963463
436,Hurstbridge,2011,96.4,0.8814862267777066,0.7290709996467679
437,Hurstbridge,2016,117.247311827957,0.950457692459519,0.8030378116468772
439,Ivanhoe,2011,141.84595959595958,1.0755753132434747,0.8896007050369465
440,Ivanhoe,2016,166.86567164179107,1.1411984994014304,0.964193938230508
442,Ivanhoe East - Eaglemont,2011,142.9430894308943,1.0802608987012354,0.8934761195015694
443,Ivanhoe East - Eaglemont,2016,164.26582278481015,1.1312042700321379,0.955749854768944
445,Keilor,2011,99.08361204013376,0.8929473074530588,0.7385503781000838
446,Keilor,2016,116.46540880503144,0.9474519338229437,0.8004982584852754
448,Keilor Downs,2011,81.62519936204146,0.8183865016529637,0.6768816650019125
449,Keilor Downs,2016,93.87245590230664,0.8606010567678576,0.7271183081694976
451,Keilor East,2011,100.37751937984495,0.8984732837063633,0.7431208738249556
452,Keilor East,2016,114.8701044386423,0.9413193320339144,0.7953168483505223
454,Kensington (Vic.),2011,147.3784186971656,1.0992031548031844,0.909143125034142
455,Kensington (Vic.),2016,175.87562189054722,1.175834170298296,0.993457474716773
457,Kew,2011,169.40715883668904,1.193282762488529,0.9869557005887991
458,Kew,2016,191.10871302957636,1.2343925770449051,1.0429332327440852
460,Kew East,2011,150.26612903225805,1.1115358916602949,0.919343444126662
461,Kew East,2016,173.76050420168067,1.1677033240497459,0.9865877560222178
463,Keysborough,2011,91.8189448441247,0.8619216094133021,0.7128892435327612
464,Keysborough,2016,111.8804979253112,0.9298268127138263,0.7856068658459554
466,Kilsyth,2011,94.95728155339806,0.8753247130189965,0.7239748553634688
467,Kilsyth,2016,110.8706896551724,0.9259449503341434,0.782327096219989
469,Kinglake,2011,67.0126582278481,0.7559797489978565,0.6252654829666129
470,Kinglake,2016,94.88888888888889,0.8645083856032018,0.7304195942995515
472,Kings Park (Vic.),2011,77.91282051282052,0.8025317980474932,0.6637683522176634
473,Kings Park (Vic.),2016,90.69125993189556,0.8483720373340595,0.7167860597352806
475,Kingsbury,2011,128.39294117647057,1.0181206114732888,0.842080329129179
476,Kingsbury,2016,143.90328820116054,1.0529274730473044,0.8896141095883613
478,Knoxfield - Scoresby,2011,97.81266846361186,0.8875194040726536,0.7340609977520729
479,Knoxfield - Scoresby,2016,114.01525940996947,0.9380331728139985,0.7925403858844701
481,Koo Wee Rup,2011,71.91048593350384,0.7768972279884853,0.6425661813263999
482,Koo Wee Rup,2016,85.63592233009709,0.8289385216525923,0.7003667619282766
484,Lalor,2011,92.53576864535768,0.8649829965635604,0.7154212951089992
485,Lalor,2016,106.27652173913044,0.9082842437162644,0.7674056375300609
487,Langwarrin,2011,96.8323886639676,0.8833328578431245,0.7305983350899597
488,Langwarrin,2016,110.093470790378,0.9229571983407769,0.7798027567974861
490,Laverton,2011,91.14374034003092,0.8590379685672899,0.7105042046627725
491,Laverton,2016,103.27716390423574,0.8967542387769264,0.7576639835793165
