Region,Census year,Total,Mean rent per person
Delahey,2016,539,109.77551020408163
Dingley Village,2006,288,77.33680555555556
Dingley Village,2011,321,112.16510903426791
Dingley Village,2016,305,133.19016393442624
Docklands,2006,1357,211.0
Docklands,2011,1623,284.93345656192236
Docklands,2016,2882,286.51040943789036
Doncaster,2006,958,88.36430062630481
Doncaster,2011,1254,130.58133971291866
Doncaster,2016,1953,162.08755760368663
Doncaster East (North),2006,446,93.44843049327355
Doncaster East (North),2011,511,121.96086105675147
Doncaster East (North),2016,600,143.43333333333334
Doncaster East (South),2006,1017,82.84267453294002
Doncaster East (South),2011,1185,119.34261603375528
Doncaster East (South),2016,1370,144.46861313868612
Donvale - Park Orchards,2006,481,84.28066528066529
Donvale - Park Orchards,2011,524,117.30534351145037
Donvale - Park Orchards,2016,562,123.20284697508896
Doreen,2006,12,72.0
Doreen,2011,410,101.0
Doreen,2016,1406,98.84779516358464
Doveton,2006,990,51.597979797979804
Doveton,2011,1166,82.7958833619211
Doveton,2016,1388,97.18083573487033
Dromana,2006,619,63.4248788368336
Dromana,2011,902,96.4390243902439
Dromana,2016,1043,113.88782358581017
East Melbourne,2006,1197,167.31746031746027
East Melbourne,2011,1225,240.3012244897959
East Melbourne,2016,1131,269.6808134394341
Edithvale - Aspendale,2006,751,79.56724367509986
Edithvale - Aspendale,2011,870,117.01494252873563
Edithvale - Aspendale,2016,921,142.30076004343107
Elsternwick,2006,1272,121.14150943396226
Elsternwick,2011,1387,169.25306416726747
Elsternwick,2016,1559,198.818473380372
Eltham,2006,741,78.98380566801619
Eltham,2011,782,105.89769820971867
Eltham,2016,762,125.78215223097112
Elwood,2006,3229,139.77578197584393
Elwood,2011,3626,198.52868174296748
Elwood,2016,3744,220.51095085470084
Emerald - Cockatoo,2006,486,60.80452674897119
Emerald - Cockatoo,2011,437,82.69794050343249
Emerald - Cockatoo,2016,464,98.81896551724138
Endeavour Hills - North,2006,481,53.35135135135135
Endeavour Hills - North,2011,588,79.5408163265306
Endeavour Hills - North,2016,619,92.20840064620356
Endeavour Hills - South,2006,590,60.51525423728813
Endeavour Hills - South,2011,631,87.6973058637084
Endeavour Hills - South,2016,617,98.6580226904376
Epping - East,2006,447,67.88143176733782
Epping - East,2011,662,95.41389728096678
Epping - East,2016,961,104.3579604578564
Epping - South,2006,644,65.12732919254658
Epping - South,2011,778,95.3637532133676
Epping - South,2016,839,100.95947556615018
Epping - West,2006,95,71.28421052631579
Epping - West,2011,301,99.46843853820599
Epping - West,2016,825,114.03030303030303
Essendon - Aberfeldie,2006,2540,94.4232283464567
Essendon - Aberfeldie,2011,2795,139.42432915921287
Essendon - Aberfeldie,2016,3539,166.5964961853631
Essendon Airport,2006,0,0.0
Essendon Airport,2011,0,0.0
Essendon Airport,2016,0,0.0
Fawkner,2006,754,68.86206896551724
Fawkner,2011,916,100.81986899563319
Fawkner,2016,1144,116.39685314685315
Ferntree Gully (North),2006,916,69.00436681222706
Ferntree Gully (North),2011,979,95.04902962206333
Ferntree Gully (North),2016,1070,109.66822429906543
Ferntree Gully (South) - Upper Ferntree Gully,2006,641,63.76287051482059
Ferntree Gully (South) - Upper Ferntree Gully,2011,722,90.13434903047091
Ferntree Gully (South) - Upper Ferntree Gully,2016,796,104.00125628140704
Fitzroy,2006,2035,111.21572481572481
Fitzroy,2011,2212,161.62341772151896
Fitzroy,2016,2392,198.6776755852843
Fitzroy North,2006,2047,112.40644846116268
Fitzroy North,2011,2177,162.11483693155716
Fitzroy North,2016,2377,199.18931426167438
Flemington,2006,1773,79.75070501974055
Flemington,2011,2170,129.06451612903226
Flemington,2016,2395,153.2154488517745
Flemington Racecourse,2006,0,0.0
Flemington Racecourse,2011,11,165.0
Flemington Racecourse,2016,4,72.0
Flinders,2006,171,60.631578947368425
Flinders,2011,200,90.0
Flinders,2016,199,115.0
Footscray,2006,2037,78.91507118311242
Footscray,2011,2542,128.49803304484658
Footscray,2016,3693,157.27321960465747
Forest Hill,2006,720,74.10555555555555
Forest Hill,2011,819,101.98901098901098
Forest Hill,2016,965,119.75025906735752
Frankston,2006,2971,68.11309323460115
Frankston,2011,3555,100.11898734177214
Frankston,2016,3812,115.13090241343127
Frankston North,2006,2110,58.842654028436016
Frankston North,2011,2510,81.0585657370518
Frankston North,2016,2522,95.07454401268834
Frankston South,2006,766,69.71018276762402
Frankston South,2011,950,97.22947368421053
Frankston South,2016,958,116.9509394572025
Gisborne,2006,411,67.59610705596107
Gisborne,2011,509,90.08840864440079
Gisborne,2016,582,111.00171821305842
Gladstone Park - Westmeadows,2006,850,60.90588235294118
Gladstone Park - Westmeadows,2011,906,88.66777041942603
Gladstone Park - Westmeadows,2016,1026,103.04191033138402
Glen Iris - East,2006,786,109.32315521628499
Glen Iris - East,2011,962,165.79417879417878
Glen Iris - East,2016,1063,192.1194731890875
Glen Waverley - East,2006,959,85.23044838373306
Glen Waverley - East,2011,1186,120.62057335581788
Glen Waverley - East,2016,1398,131.10586552217455
Glen Waverley - West,2006,1179,87.54537743850722
Glen Waverley - West,2011,1398,120.12517882689556
Glen Waverley - West,2016,1702,140.7826086956522
Glenroy,2006,1620,70.21111111111111
Glenroy,2011,1947,105.15202876219826
Glenroy,2016,2583,126.57026713124276
Gowanbrae,2006,122,82.35245901639345
Gowanbrae,2011,135,106.80740740740741
Gowanbrae,2016,140,129.35714285714286
Greensborough,2006,1000,77.362
Greensborough,2011,1118,102.38729874776385
Greensborough,2016,1172,121.23464163822526
Greenvale - Bulla,2006,115,70.8695652173913
Greenvale - Bulla,2011,174,100.91954022988506
Greenvale - Bulla,2016,359,108.05013927576601
Hadfield,2006,325,64.97538461538461
Hadfield,2011,378,99.95767195767195
Hadfield,2016,443,111.98419864559818
Hallam,2006,552,64.8822463768116
Hallam,2011,649,91.59476117103236
Hallam,2016,756,100.24338624338624
Hampton,2006,1401,95.38758029978587
Hampton,2011,1537,135.55172413793105
Hampton,2016,1596,164.84461152882204
Hampton Park - Lynbrook,2006,1355,60.56236162361624
Hampton Park - Lynbrook,2011,1620,86.76543209876543
Hampton Park - Lynbrook,2016,1840,99.71304347826087
Hastings - Somers,2006,1484,57.512129380053906
Hastings - Somers,2011,1825,82.78904109589041
Hastings - Somers,2016,2021,96.89856506679861
Hawthorn,2006,3751,130.5467875233271
Hawthorn,2011,4166,183.0410465674508
Hawthorn,2016,4694,212.9688964635705
Hawthorn East,2006,1903,125.92327903310562
Hawthorn East,2011,2023,180.50074147305983
Hawthorn East,2016,2501,208.78648540583765
Healesville - Yarra Glen,2006,720,59.6875
Healesville - Yarra Glen,2011,817,83.55569155446756
Healesville - Yarra Glen,2016,776,97.05670103092784
Heidelberg - Rosanna,2006,1113,90.08984725965858
Heidelberg - Rosanna,2011,1318,131.44688922610015
Heidelberg - Rosanna,2016,1528,152.1583769633508
Heidelberg West,2006,1973,63.15154586923467
Heidelberg West,2011,2243,92.33794025858225
Heidelberg West,2016,2244,109.7722816399287
Hillside,2006,402,65.58955223880596
Hillside,2011,577,91.8110918544194
Hillside,2016,711,104.20815752461323
Hoppers Crossing - North,2006,869,61.54085155350978
Hoppers Crossing - North,2011,1044,82.91858237547893
Hoppers Crossing - North,2016,1217,93.1125718981101
Hoppers Crossing - South,2006,1079,62.946246524559776
Hoppers Crossing - South,2011,1316,82.16869300911854
Hoppers Crossing - South,2016,1631,95.42305334150828
Hughesdale,2006,804,92.14179104477611
Hughesdale,2011,850,130.90941176470585
Hughesdale,2016,939,163.7433439829606
Hurstbridge,2006,84,61.10714285714286
Hurstbridge,2011,95,96.4
Hurstbridge,2016,93,117.24731182795699
Ivanhoe,2006,1060,92.97358490566039
Ivanhoe,2011,1188,141.84595959595958
Ivanhoe,2016,1206,166.86567164179107
Ivanhoe East - Eaglemont,2006,495,109.32121212121211
Ivanhoe East - Eaglemont,2011,492,142.9430894308943
Ivanhoe East - Eaglemont,2016,474,164.26582278481015
Keilor,2006,269,68.5724907063197
Keilor,2011,299,99.08361204013377
Keilor,2016,318,116.46540880503144
Keilor Downs,2006,557,57.19748653500898
Keilor Downs,2011,627,81.62519936204146
Keilor Downs,2016,737,93.87245590230665
Keilor East,2006,1147,69.84829991281605
Keilor East,2011,1290,100.37751937984495
Keilor East,2016,1532,114.8701044386423
Kensington (Vic.),2006,1756,108.62756264236903
Kensington (Vic.),2011,2011,147.37841869716559
Kensington (Vic.),2016,2211,175.87562189054722
Kew,2006,2077,119.66249398170437
Kew,2011,2235,169.40715883668904
Kew,2016,2502,191.10871302957634
Kew East,2006,433,102.99076212471132
Kew East,2011,496,150.26612903225805
Kew East,2016,476,173.76050420168067
Keysborough,2006,566,60.75971731448763
Keysborough,2011,834,91.8189448441247
Keysborough,2016,1205,111.8804979253112
Kilsyth,2006,443,65.17155756207676
Kilsyth,2011,515,94.95728155339806
Kilsyth,2016,580,110.87068965517241
Kinglake,2006,95,59.694736842105264
Kinglake,2011,79,67.0126582278481
Kinglake,2016,81,94.88888888888889
Kings Park (Vic.),2006,660,53.47272727272727
Kings Park (Vic.),2011,780,77.91282051282052
Kings Park (Vic.),2016,881,90.69125993189557
Kingsbury,2006,550,88.56727272727272
Kingsbury,2011,850,128.39294117647057
Kingsbury,2016,1034,143.90328820116054
Knoxfield - Scoresby,2006,634,68.07097791798107
Knoxfield - Scoresby,2011,742,97.81266846361186
Knoxfield - Scoresby,2016,983,114.01525940996947
Koo Wee Rup,2006,290,49.224137931034484
Koo Wee Rup,2011,391,71.91048593350384
Koo Wee Rup,2016,412,85.63592233009709
Lalor,2006,1088,62.436580882352935
Lalor,2011,1314,92.53576864535769
Lalor,2016,1725,106.27652173913043
Langwarrin,2006,964,64.89626556016597
Langwarrin,2011,1235,96.8323886639676
Langwarrin,2016,1455,110.093470790378
Laverton,2006,403,57.72456575682382
Laverton,2011,647,91.14374034003092
Laverton,2016,1086,103.27716390423574
Lilydale - Coldstream,2006,942,73.40552016985137
Lilydale - Coldstream,2011,1070,97.19906542056074
Lilydale - Coldstream,2016,1167,119.65981148243358
Lynbrook - Lyndhurst,2006,124,68.7258064516129
Lynbrook - Lyndhurst,2011,426,101.1244131455399
Lynbrook - Lyndhurst,2016,637,111.38461538461539
Lysterfield,2006,78,69.0
Lysterfield,2011,138,94.48550724637681
Lysterfield,2016,113,96.0
Macedon,2006,98,68.88775510204081
Macedon,2011,106,87.11320754716981
Macedon,2016,99,109.24242424242425
Malvern - Glen Iris,2006,2105,118.56104513064133
Malvern - Glen Iris,2011,2409,173.96471564964716
Malvern - Glen Iris,2016,2608,201.23773006134965
Malvern East,2006,1765,109.38810198300283
Malvern East,2011,2041,160.30524252817244
Malvern East,2016,2342,189.20922288642188
Maribyrnong,2006,987,98.84802431610942
Maribyrnong,2011,1074,138.84450651769086
Maribyrnong,2016,1637,166.16188149053147
Meadow Heights,2006,915,53.702732240437165
Meadow Heights,2011,1067,80.92127460168697
Meadow Heights,2016,1183,95.0625528317836
Melbourne,2006,4401,192.6530334014997
Melbourne,2011,6128,263.04357049608353
Melbourne,2016,11163,278.23004568664345
Melbourne Airport,2006,13,56.0
Melbourne Airport,2011,0,0.0
Melbourne Airport,2016,0,0.0
Melton,2006,961,57.24661810613944
Melton,2011,1544,75.67681347150258
Melton,2016,1640,83.57439024390244
Melton South,2006,723,53.81604426002767
Melton South,2011,1348,77.62833827893175
Melton South,2016,2071,89.90922259777885
Melton West,2006,465,55.053763440860216
Melton West,2011,958,78.20668058455114
Melton West,2016,1300,83.76846153846154
Mentone,2006,1317,94.29460895975703
Mentone,2011,1375,140.51563636363636
Mentone,2016,1747,170.87864911276475
Mernda,2006,24,59.0
Mernda,2011,370,99.1945945945946
Mernda,2016,1380,103.31449275362318
Mickleham - Yuroke,2006,7,39.0
Mickleham - Yuroke,2011,18,57.0
Mickleham - Yuroke,2016,60,93.94999999999999
Mill Park - North,2006,723,66.34578146611341
Mill Park - North,2011,832,96.74038461538461
Mill Park - North,2016,1046,104.25239005736138
Mill Park - South,2006,627,66.72408293460924
Mill Park - South,2011,748,92.47058823529412
Mill Park - South,2016,810,99.68518518518519
Mitcham (Vic.),2006,1182,80.07529610829104
Mitcham (Vic.),2011,1232,116.92775974025975
Mitcham (Vic.),2016,1581,143.30803289057556
Monbulk - Silvan,2006,219,58.23287671232877
Monbulk - Silvan,2011,222,78.10810810810811
Monbulk - Silvan,2016,203,99.22167487684729
Montmorency - Briar Hill,2006,898,85.22383073496658
Montmorency - Briar Hill,2011,1011,110.09693372898121
Montmorency - Briar Hill,2016,981,128.69113149847095
Montrose,2006,157,59.61146496815286
Montrose,2011,228,84.58333333333334
Montrose,2016,210,103.76190476190476
Moonee Ponds,2006,1474,98.18521031207598
Moonee Ponds,2011,1583,141.21099178774477
