children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
144,26,18.055555,26,20.547945,12.5,19.25926,67.30769,30,97,"Altona North",70,13,104,8.148149,9.722222,21,"21343",13.013699,20.192308,98,11,19,104,146,"213021343",66.438354,135,72.59259,14,72.22222
202,19,9.405941,50,22.797928,7.6530614,28.735632,70.408165,44,128,"St Albans - South",138,15,196,12.643678,12.376238,43,"21335",10.880829,21.938776,102,22,21,158,193,"213011335",66.32124,174,58.62069,25,78.21782
143,10,6.993007,18,14.563107,7.2727275,13.740458,77.27273,15,83,"Sunshine North",85,8,110,6.8702292,4.195804,17,"21337",4.854369,15.454545,104,9,5,127,103,"213011337",80.58253,131,79.38931,6,88.81119
117,17,14.529915,16,10.0,8.843537,15.841584,73.46939,8,66,"Sunshine",108,13,147,7.920792,10.256411,26,"21336",7.5,17.687075,77,8,6,88,80,"213011336",82.5,101,76.237625,12,75.21368
120,18,15.0,28,16.0,8.029197,21.052631,75.91241,20,96,"Sydenham",104,11,137,9.022556,4.1666665,22,"21339",7.2,16.058393,93,12,9,97,125,"213011339",76.8,133,69.92481,5,80.833336
210,28,13.333333,27,23.03665,3.4482758,12.735849,83.44827,44,129,"Sunshine West",121,5,145,9.905661,10.952381,19,"21338",9.424084,13.103448,164,21,18,159,191,"213011338",67.53927,212,77.35849,23,75.71429
141,25,17.730497,16,13.297873,5.381166,10.191083,77.13004,25,157,"Taylors Lakes",172,12,223,8.280254,6.382979,39,"21340",3.1914895,17.488789,128,13,6,107,188,"213011340",83.510635,157,81.52866,9,75.88653
151,11,7.284768,10,13.793103,0.89285713,6.849315,86.60714,16,93,"Altona",97,1,112,4.109589,3.97351,14,"21341",6.034483,12.5,130,6,7,134,116,"213021341",80.17242,146,89.0411,6,88.74172
194,28,14.43299,22,17.127071,10.994764,9.90991,64.3979,31,137,"Altona Meadows",123,21,191,12.162162,9.278351,47,"21342",7.1823206,24.60733,173,27,13,148,181,"213021342",75.690605,222,77.927925,18,76.28866
272,27,9.926471,27,15.348837,7.5376883,10.505836,78.89447,33,174,"Newport",157,15,199,3.5019455,4.0441175,27,"21344",3.7209303,13.56784,221,9,8,234,215,"213021344",80.93023,257,85.99222,11,86.02941
106,13,12.264151,6,10.810811,8.064516,7.4074073,74.19355,8,64,"Seabrook",46,5,62,6.1728396,3.7735848,11,"21345",2.7027028,17.741936,70,5,2,89,74,"213021345",86.48649,81,86.419754,4,83.962265
193,31,16.062176,16,12.643678,3.9106145,11.034483,84.9162,22,140,"Williamstown",152,7,179,3.4482758,5.1813474,20,"21346",6.8965516,11.173184,124,5,12,152,174,"213021346",80.45977,145,85.51724,10,78.75648
144,11,7.638889,18,6.25,6.0240965,13.740458,80.72289,7,100,"West Footscray - Tottenham",67,5,83,6.8702292,6.25,11,"21351",4.464286,13.253012,104,9,5,124,112,"213031351",89.28571,131,79.38931,9,86.111115
189,28,14.814815,25,11.055276,7.894737,12.195122,72.36842,22,166,"Braybrook",110,12,152,4.878049,7.4074073,30,"21347",5.527638,19.736841,170,10,11,147,199,"213031347",83.41708,205,82.92683,14,77.77778
135,14,10.37037,18,8.888889,5.0,15.0,72.0,8,79,"Footscray",72,5,100,5.8333335,3.7037036,23,"21348",3.3333333,23.0,95,7,3,116,90,"213031348",87.77778,120,79.166664,5,85.92593
117,16,13.675214,11,7.216495,2.1505377,10.476191,86.02151,7,85,"Maribyrnong",80,2,93,6.6666665,3.4188035,11,"21349",5.1546392,11.827957,87,7,5,97,97,"213031349",87.62887,105,82.85714,4,82.90598
135,16,11.851851,14,14.851485,5.633803,10.0,76.056335,15,80,"Seddon - Kingsville",54,4,71,6.428571,8.148149,13,"21350",5.940594,18.309858,117,9,6,108,101,"213031350",79.207924,140,83.57143,11,80.0
210,26,12.380953,29,12.565445,8.928572,13.122172,79.7619,24,160,"Yarraville",134,15,168,6.78733,8.571428,19,"21352",3.6649215,11.309524,177,15,7,166,191,"213031352",83.76963,221,80.0905,18,79.04762
284,29,10.211267,38,8.786611,5.2863436,17.272728,82.81938,21,211,"Bacchus Marsh",188,12,227,9.090909,3.8732395,27,"21353",2.9288702,11.894273,162,20,7,244,239,"213041353",88.284515,220,73.63636,11,85.91549
316,36,11.392406,43,17.0,8.024692,17.55102,82.09876,34,151,"Hillside",133,13,162,8.163265,12.341772,16,"21355",7.5,9.876543,182,20,15,241,200,"213041355",75.5,245,74.28571,39,76.26582
294,50,17.006804,32,14.583333,10.714286,12.8,71.42857,35,178,"Melton",180,27,252,8.0,8.843537,45,"21356",11.25,17.857143,198,20,27,218,240,"213041356",74.166664,250,79.2,26,74.14966
488,68,13.934426,58,20.465117,6.508876,16.022099,78.69823,44,152,"Melton South",133,11,169,9.116022,5.7377048,25,"21357",8.83721,14.792899,271,33,19,392,215,"213041357",70.69768,362,74.86188,28,80.327866
311,44,14.14791,43,13.207547,10.674157,15.302491,68.53933,28,167,"Melton West",122,19,178,6.405694,7.073955,37,"21358",8.0188675,20.786516,220,18,17,245,212,"213041358",78.77358,281,78.29182,22,78.77814
44,7,15.909091,4,5.882353,4.5454545,25.0,90.90909,1,15,"Rockbank - Mount Cottrell",20,1,22,6.25,13.636364,1,"21359",5.882353,4.5454545,11,1,1,31,17,"213041359",88.23529,16,68.75,6,70.454544
325,53,16.307692,35,8.791209,6.707317,9.090909,82.31707,24,237,"Taylors Hill",135,11,164,6.753247,7.6923075,18,"21360",4.3956046,10.97561,324,26,12,247,273,"213041360",86.81319,385,84.155846,25,76.0
81,9,11.111111,8,18.75,12.5,13.559322,87.5,12,47,"Burnside",35,5,40,8.474576,6.1728396,0,"21461",7.8125,0.0,46,5,5,67,64,"213041461",73.4375,59,77.9661,5,82.71605
165,17,10.30303,15,11.340206,5.882353,11.71875,76.47059,11,78,"Burnside Heights",39,3,51,5.46875,4.242424,9,"21462",8.247422,17.647058,106,7,8,141,97,"213041462",80.41237,128,82.8125,7,85.454544
322,37,11.490684,54,13.043478,6.267806,15.743441,81.48148,39,249,"Caroline Springs",286,22,351,8.45481,6.521739,43,"21463",3.6789298,12.250712,260,29,11,264,299,"213041463",83.277596,343,75.80175,21,81.98758
241,49,20.331951,44,10.526316,10.116732,18.80342,71.20622,24,173,"Hoppers Crossing - North",183,26,257,8.974359,8.713693,48,"21361",13.596491,18.677042,169,21,31,171,228,"213051361",75.87719,234,72.22222,21,70.95435
130,29,22.307692,31,22.38806,19.047619,27.678572,61.904762,15,47,"Laverton",26,8,42,12.5,18.461538,8,"21363",7.4626865,19.047619,67,14,5,77,67,"213051363",70.149254,112,59.82143,24,59.23077
867,127,14.648212,100,13.152401,8.949416,14.684288,74.70817,63,367,"Tarneit",192,23,257,12.922174,6.689735,42,"21365",10.229645,16.342413,493,88,49,682,479,"213051365",76.61795,681,72.39354,58,78.662056
644,89,13.819876,58,13.265306,13.793103,15.143603,75.86207,26,158,"Truganina",66,12,87,7.832898,7.919255,9,"21366",6.122449,10.344828,295,30,12,504,196,"213051366",80.61224,383,77.0235,51,78.26087
132,21,15.909091,15,12.844037,9.803922,14.563107,77.45098,14,84,"Werribee - South",79,10,102,7.76699,9.848485,13,"21368",10.091743,12.745098,80,8,11,98,109,"213051368",77.06422,103,77.66991,13,74.242424
475,105,22.105263,64,21.068249,10.909091,15.421687,70.454544,71,234,"Wyndham Vale",155,24,220,6.9879518,8.842105,41,"21369",9.495549,18.636364,322,29,32,328,337,"213051369",69.4362,415,77.59036,42,69.052635
291,46,15.80756,29,10.655738,9.433962,14.720812,81.13207,13,95,"Point Cook - East",86,10,106,7.614213,7.5601373,10,"21464",11.47541,9.433962,153,15,14,223,122,"213051464",77.86885,197,77.66498,22,76.6323
451,77,17.073172,88,12.250712,6.25,19.213974,82.23684,43,282,"Point Cook - North",250,19,304,7.6419215,9.090909,35,"21465",7.4074073,11.513158,335,35,26,333,351,"213051465",80.34188,458,73.144104,41,73.83592
283,33,11.660777,52,22.857143,5.5555553,20.3125,81.349205,56,167,"Werribee - East",205,14,252,6.640625,5.6537104,33,"21467",8.979591,13.095238,187,17,22,234,245,"213051467",68.16327,256,73.046875,16,82.68551
169,18,10.650887,29,20.930233,10.483871,20.714285,77.41936,27,86,"Werribee - West",96,13,124,10.0,10.650887,15,"21468",12.403101,12.096774,97,14,16,133,129,"213051468",66.666664,140,69.28571,18,78.69823
287,60,20.905924,39,17.218542,14.937759,14.181818,65.145226,52,222,"Carrum Downs",157,36,241,9.818182,8.013937,48,"21370",9.271523,19.917013,209,27,28,204,302,"214011370",73.50993,275,76.0,23,71.08014
217,31,14.285714,33,13.270143,12.682927,13.75,72.68293,28,172,"Frankston",149,26,205,8.75,8.29493,30,"21371",5.21327,14.634147,186,21,11,168,211,"214011371",81.51659,240,77.5,18,77.41936
