Albert Park,{'15 - 19': [207, 191.51207729468598], '20 - 24': [620, 728.6], '25 - 29': [1087, 1213.6715731370746], '30 - 34': [1275, 1635.7843137254902], '35 - 39': [1057, 1936.4210028382213], '40 - 44': [994, 1941.1639839034206], '45 - 49': [1039, 1974.0644850818094], '50 - 54': [859, 1882.1583236321303], '55 - 59': [787, 1851.0330368487928], '60 - 64': [704, 1594.9431818181818], '65 - 69': [724, 1380.4240331491712], '70 - 74': [595, 1191.9008403361345], '75 - 79': [379, 877.2137203166227], '80 - 84': [209, 800.8995215311005]}
Elwood,{'15 - 19': [188, 191.54787234042553], '20 - 24': [693, 689.7647907647907], '25 - 29': [1474, 1185.3636363636363], '30 - 34': [1845, 1525.3739837398373], '35 - 39': [1385, 1675.501083032491], '40 - 44': [1198, 1757.864774624374], '45 - 49': [1144, 1708.25], '50 - 54': [798, 1634.2719298245613], '55 - 59': [768, 1545.59375], '60 - 64': [510, 1337.8666666666666], '65 - 69': [411, 1073.1508515815085], '70 - 74': [243, 931.4609053497942], '75 - 79': [158, 677.2911392405064], '80 - 84': [101, 512.2673267326733]}
Port Melbourne,{'15 - 19': [190, 158.07894736842104], '20 - 24': [520, 700.2269230769231], '25 - 29': [1062, 1340.7777777777778], '30 - 34': [1490, 1739.724832214765], '35 - 39': [1400, 1943.225], '40 - 44': [1287, 1907.7987567987568], '45 - 49': [1151, 1747.4526498696785], '50 - 54': [959, 1702.3701772679874], '55 - 59': [928, 1611.823275862069], '60 - 64': [709, 1303.5049365303244], '65 - 69': [738, 1152.0243902439024], '70 - 74': [479, 908.5615866388309], '75 - 79': [342, 744.7543859649123], '80 - 84': [214, 607.411214953271]}
South Melbourne,{'15 - 19': [115, 204.90434782608696], '20 - 24': [550, 720.6636363636363], '25 - 29': [1131, 1226.7188328912466], '30 - 34': [1231, 1587.200649878148], '35 - 39': [933, 1745.967845659164], '40 - 44': [773, 1842.1720569210868], '45 - 49': [666, 1746.2027027027027], '50 - 54': [610, 1529.622950819672], '55 - 59': [525, 1496.0209523809524], '60 - 64': [482, 1288.9958506224066], '65 - 69': [471, 1216.4522292993631], '70 - 74': [311, 1018.9228295819936], '75 - 79': [191, 826.1623036649214], '80 - 84': [161, 707.6335403726708]}
St Kilda,{'15 - 19': [239, 269.7907949790795], '20 - 24': [1598, 696.1939924906133], '25 - 29': [3479, 1124.2819775797643], '30 - 34': [3398, 1405.0253090052972], '35 - 39': [2149, 1575.8469055374592], '40 - 44': [1556, 1635.4383033419024], '45 - 49': [1361, 1580.9897134459957], '50 - 54': [1292, 1448.8637770897833], '55 - 59': [1137, 1375.8927000879507], '60 - 64': [901, 1169.1309655937846], '65 - 69': [723, 1004.1313969571231], '70 - 74': [439, 846.8451025056947], '75 - 79': [261, 696.5785440613026], '80 - 84': [179, 570.5977653631285]}
St Kilda East,{'15 - 19': [221, 237.46153846153845], '20 - 24': [1042, 679.295585412668], '25 - 29': [2277, 1074.4545454545455], '30 - 34': [2090, 1383.4023923444977], '35 - 39': [1493, 1573.2933690555928], '40 - 44': [1123, 1589.8290293855744], '45 - 49': [900, 1502.5], '50 - 54': [702, 1380.4814814814815], '55 - 59': [578, 1207.6937716262976], '60 - 64': [496, 1092.717741935484], '65 - 69': [366, 757.2213114754098], '70 - 74': [268, 736.9850746268656], '75 - 79': [178, 580.3258426966293], '80 - 84': [134, 446.36567164179104]}
Armadale,{'15 - 19': [158, 178.29746835443038], '20 - 24': [504, 604.6845238095239], '25 - 29': [795, 1150.9132075471698], '30 - 34': [821, 1466.4604141291109], '35 - 39': [618, 1684.631067961165], '40 - 44': [522, 1887.655172413793], '45 - 49': [494, 1843.9554655870445], '50 - 54': [440, 1787.3], '55 - 59': [387, 1709.0645994832041], '60 - 64': [380, 1599.1052631578948], '65 - 69': [367, 1411.4632152588556], '70 - 74': [355, 1306.7549295774647], '75 - 79': [270, 1127.7037037037037], '80 - 84': [158, 995.5253164556962]}
Prahran - Windsor,{'15 - 19': [224, 372.5], '20 - 24': [1432, 721.1229050279329], '25 - 29': [3056, 1232.625654450262], '30 - 34': [2801, 1584.1338807568725], '35 - 39': [1583, 1764.850915982312], '40 - 44': [1104, 1758.0271739130435], '45 - 49': [935, 1699.9967914438503], '50 - 54': [742, 1620.8315363881402], '55 - 59': [672, 1408.1785714285713], '60 - 64': [591, 1183.9390862944163], '65 - 69': [518, 954.984555984556], '70 - 74': [382, 740.3926701570681], '75 - 79': [376, 540.7872340425532], '80 - 84': [284, 543.9718309859155]}
South Yarra - East,{'15 - 19': [278, 338.0143884892086], '20 - 24': [1782, 751.0925925925926], '25 - 29': [3491, 1265.3488971641364], '30 - 34': [2830, 1638.4031802120141], '35 - 39': [1504, 1793.9202127659576], '40 - 44': [915, 1741.4262295081967], '45 - 49': [839, 1678.0584028605483], '50 - 54': [739, 1677.1244925575102], '55 - 59': [678, 1565.1592920353983], '60 - 64': [581, 1413.946643717728], '65 - 69': [561, 1360.825311942959], '70 - 74': [409, 1098.8630806845965], '75 - 79': [343, 919.0204081632653], '80 - 84': [223, 825.9955156950673]}
Toorak,{'15 - 19': [195, 282.6307692307692], '20 - 24': [757, 654.997357992074], '25 - 29': [928, 1195.7866379310344], '30 - 34': [793, 1570.2459016393443], '35 - 39': [580, 1876.103448275862], '40 - 44': [570, 1801.6157894736841], '45 - 49': [650, 2050.929230769231], '50 - 54': [664, 1955.198795180723], '55 - 59': [716, 1953.4874301675977], '60 - 64': [724, 1915.8922651933701], '65 - 69': [791, 1907.8938053097345], '70 - 74': [690, 1732.4347826086957], '75 - 79': [471, 1582.312101910828], '80 - 84': [354, 1530.1610169491526]}
